Make and Model,Year,Mileage,Fuel Type,Transmission,Engine Capacity,Body Type,Price,City,Listing URL,ABS,Air Bags,Air Conditioning,Alloy Rims,AM/FM Radio,CD Player,Cassette Player,Cool Box,Cruise Control,Climate Control,DVD Player,Front Speakers,Front Camera,Heated Seats,Immobilizer Key,Keyless Entry,Navigation System,Power Locks,Power Mirrors,Power Steering,Power Windows,Rear Seat Entertainment,Rear AC Vents,Rear Camera,Rear Speakers,Sun Roof,Steering Switches,USB and Auxillary Cable
Toyota Corolla 2016 for sale in Islamabad,2016,"86,000 km",Petrol,Manual,1300cc,Sedan,PKR 3690000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-islamabad-10058844,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
Toyota Corolla 2018 for sale in Lahore,2018,"75,000 km",Petrol,Automatic,1800cc,Sedan,PKR 5100000,Lahore,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-lahore-10798991,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0
Toyota Corolla 2016 for sale in Islamabad,2016,"115,000 km",Petrol,Automatic,1300cc,Sedan,PKR 4235000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-islamabad-10711535,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
Toyota Corolla 2015 for sale in Karachi,2015,"131,320 km",Petrol,Manual,1300cc,Sedan,PKR 3200000,Karachi,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10764666,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
Toyota Corolla 2019 for sale in Lahore,2019,"53,000 km",Petrol,Automatic,1300cc,Sedan,PKR 4350000,Lahore,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-10802694,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Toyota Corolla 2020 for sale in Rahim Yar Khan,2020,"48,000 km",Petrol,Automatic,1300cc,Sedan,PKR 3850000,Rahim,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-rahim-yar-khan-10802229,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
Toyota Corolla 2025 for sale in Lahore,2025,30 km,Petrol,Automatic,1800cc,Sedan,PKR 7925000,Lahore,https://www.pakwheels.com/used-cars/toyota-corolla-2025-for-sale-in-lahore-10802643,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
Toyota Corolla 2025 for sale in Lahore,2025,30 km,Petrol,Automatic,1800cc,Sedan,PKR 7990000,Lahore,https://www.pakwheels.com/used-cars/toyota-corolla-2025-for-sale-in-lahore-10802641,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
Toyota Corolla 2016 for sale in Islamabad,2016,"86,000 km",Petrol,Manual,1300cc,Sedan,PKR 3750000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-islamabad-10802519,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
Toyota Corolla 1980 for sale in Karachi,1980,"6,500 km",Petrol,Manual,4000cc,Sedan,PKR 2300000,Karachi,https://www.pakwheels.com/used-cars/toyota-corolla-1980-for-sale-in-karachi-10802497,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0
Toyota Corolla 2006 for sale in Islamabad,2006,11 km,Petrol,Manual,1300cc,Sedan,PKR 2140000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2006-for-sale-in-islamabad-10802464,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Toyota Corolla 2022 for sale in Karachi,2022,"54,000 km",Petrol,Automatic,1598cc,Sedan,PKR 5495000,Karachi,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-10802444,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0
Toyota Corolla 1998 for sale in Mandra,1998,"142,000 km",Petrol,Manual,1300cc,Sedan,PKR 1350000,Mandra,https://www.pakwheels.com/used-cars/toyota-corolla-1998-for-sale-in-mandra-10802836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Toyota Corolla 1986 for sale in Islamabad,1986,"158,000 km",CNG,Manual,1300cc,N/A,PKR 680000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-1986-for-sale-in-islamabad-10802835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota Corolla 2022 for sale in Islamabad,2022,"28,500 km",Petrol,Automatic,1800cc,Sedan,PKR 6950000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-islamabad-10802829,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0
Toyota Corolla 2013 for sale in Islamabad,2013,"106,000 km",Petrol,Automatic,1600cc,Sedan,PKR 3600000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-islamabad-10802811,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Toyota Corolla 2017 for sale in Lahore,2017,"74,000 km",Petrol,Automatic,1300cc,Sedan,PKR 4250000,Lahore,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-10802794,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
Toyota Corolla 2018 for sale in Islamabad,2018,"80,000 km",Petrol,Automatic,1800cc,Sedan,PKR 5425000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-islamabad-10802787,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0
Toyota Corolla 2009 for sale in Karachi,2009,"118,000 km",Petrol,Manual,1300cc,Sedan,PKR 2275000,Karachi,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-karachi-10802776,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Toyota Corolla 2014 for sale in Islamabad,2014,"69,000 km",Petrol,Manual,1300cc,Sedan,PKR 3650000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-islamabad-10802770,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Toyota Corolla 2014 for sale in Peshawar,2014,"70,000 km",Petrol,Manual,1300cc,Sedan,PKR 3100000,Peshawar,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-peshawar-10802764,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
Toyota Corolla 2016 for sale in Karachi,2016,"95,000 km",Petrol,Manual,1300cc,Sedan,PKR 3425000,Karachi,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-10802753,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
Toyota Corolla 2010 for sale in Gujrat,2010,"140,000 km",Petrol,Manual,1300cc,Sedan,PKR 2750000,Gujrat,https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-gujrat-10802750,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
Toyota Corolla 2018 for sale in Hyderabad,2018,"152,480 km",Petrol,Manual,1300cc,Sedan,PKR 2650000,Hyderabad,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-hyderabad-10802735,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Toyota Corolla 2020 for sale in Lahore,2020,"92,500 km",Petrol,Automatic,1300cc,N/A,PKR 4100000,Lahore,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-lahore-10802734,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0
Toyota Corolla 2018 for sale in Islamabad,2018,"94,000 km",Petrol,Automatic,1600cc,Sedan,PKR 5000000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-islamabad-10802726,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0
Toyota Corolla 2020 for sale in Lahore,2020,"18,000 km",Petrol,Manual,1300cc,Sedan,PKR 4950000,Lahore,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-lahore-10802716,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Toyota Corolla 2012 for sale in D.G.Khan,2012,"126,000 km",Petrol,Automatic,1600cc,Sedan,PKR 3300000,Dgkhan,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-dgkhan-10682659,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
Toyota Corolla 2016 for sale in Islamabad,2016,"112,000 km",Petrol,Automatic,1800cc,Sedan,PKR 4350000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-islamabad-10802459,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0
Toyota Corolla 2009 for sale in Sukkur,2009,"20,000 km",Petrol,Manual,1300cc,Sedan,PKR 1950000,Sukkur,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-sukkur-10802707,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Toyota Corolla 2017 for sale in Islamabad,2017,"180,000 km",Petrol,Automatic,1800cc,Sedan,PKR 5350000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-islamabad-10802705,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
Toyota Corolla 2009 for sale in Islamabad,2009,"150,000 km",Petrol,Automatic,1800cc,Sedan,PKR 2950000,Islamabad,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-islamabad-10802678,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
